date,distance_km,chlorophyll_mg_m3,lat,lon
2024-06,0.0,4.386904,31.6,-114.75
2024-06,1.734501495285024,4.422077,31.586934673366837,-114.73994974874371
2024-06,3.4690737134757175,4.019438,31.57386934673367,-114.72989949748744
2024-06,5.203716635184974,4.019438,31.560804020100505,-114.71984924623115
2024-06,6.938430241012232,4.019438,31.547738693467338,-114.70979899497488
2024-06,8.673214511545236,3.596152,31.534673366834173,-114.69974874371859
2024-06,10.408069427361108,3.596152,31.521608040201006,-114.68969849246231
2024-06,12.142994969024565,3.596152,31.50854271356784,-114.67964824120602
2024-06,13.87799111708652,3.2161622,31.495477386934674,-114.66959798994975
2024-06,15.613057852085488,3.0843222,31.48241206030151,-114.65954773869346
2024-06,17.34819515455077,3.0843222,31.469346733668342,-114.64949748743719
2024-06,19.08340300499538,2.8227475,31.456281407035178,-114.6394472361809
2024-06,20.81868138392665,2.8227475,31.44321608040201,-114.62939698492463
2024-06,22.554030271830683,2.7351673,31.430150753768846,-114.61934673366834
2024-06,24.289449649186487,2.7351673,31.417085427135678,-114.60929648241206
2024-06,26.02493949646385,2.4790375,31.404020100502514,-114.59924623115577
2024-06,27.76049979411593,2.4790375,31.39095477386935,-114.5891959798995
2024-06,29.496130522583837,2.33016,31.377889447236182,-114.57914572864321
2024-06,31.231831662297346,2.107162,31.364824120603018,-114.56909547738694
2024-06,32.96760319367772,2.107162,31.35175879396985,-114.55904522613065
2024-06,34.703445097127116,2.107162,31.338693467336686,-114.54899497487438
2024-06,36.43935735304236,1.4983525,31.325628140703518,-114.53894472361809
2024-06,38.17533994180223,1.4983525,31.312562814070354,-114.52889447236181
2024-06,39.911392843778394,1.4983525,31.299497487437186,-114.51884422110552
2024-06,41.647516039326966,1.0582038,31.286432160804022,-114.50879396984925
2024-06,43.38370950879483,0.69360185,31.273366834170854,-114.49874371859296
2024-06,45.119973232514354,0.69360185,31.26030150753769,-114.48869346733669
2024-06,46.85630719080728,0.5713491,31.247236180904522,-114.4786432160804
2024-06,48.59271136398083,0.5713491,31.23417085427136,-114.46859296482413
2024-06,50.32918573233443,0.5713491,31.22110552763819,-114.45854271356784
2024-06,52.0657302761498,0.48418775,31.208040201005026,-114.44849246231156
2024-06,53.80234497570227,0.48418775,31.194974874371862,-114.43844221105527
2024-06,55.53902981125125,0.48418775,31.181909547738694,-114.428391959799
2024-06,57.27578476304728,0.48418775,31.16884422110553,-114.41834170854271
2024-06,59.01260981132603,0.51532435,31.155778894472363,-114.40829145728644
2024-06,60.74950493631219,0.51532435,31.1427135678392,-114.39824120603015
2024-06,62.486470118217,0.51532435,31.12964824120603,-114.38819095477388
2024-06,64.2235053372407,0.5019326,31.116582914572867,-114.37814070351759
2024-06,65.96061057357502,0.4851594,31.1035175879397,-114.36809045226131
2024-06,67.69778580739403,0.4851594,31.090452261306535,-114.35804020100502
2024-06,69.43503101886252,0.4864215,31.077386934673367,-114.34798994974874
2024-06,71.17234618813082,0.4864215,31.064321608040203,-114.33793969849246
2024-06,72.9097312953425,0.4250564,31.051256281407035,-114.32788944723617
2024-06,74.64718632062448,0.43624955,31.03819095477387,-114.3178391959799
2024-06,76.38471124409413,0.43624955,31.025125628140703,-114.30778894472361
2024-06,78.12230604585251,0.43624955,31.01206030150754,-114.29773869346734
2024-06,79.85997070599574,0.40302202,30.99899497487437,-114.28768844221105
2024-06,81.5977052046015,0.40302202,30.985929648241207,-114.27763819095478
2024-06,83.33550952174004,0.40302202,30.972864321608043,-114.26758793969849
2024-06,85.07338363746602,0.40302202,30.959798994974875,-114.25753768844221
2024-06,86.81132753182456,0.40656772,30.94673366834171,-114.24748743718592
2024-06,88.54934118484836,0.40656772,30.933668341708543,-114.23743718592965
2024-06,90.28742457655771,0.40656772,30.92060301507538,-114.22738693467336
2024-06,92.02557768696018,0.42224538,30.90753768844221,-114.21733668341709
2024-06,93.76380049605304,0.40789512,30.894472361809047,-114.2072864321608
2024-06,95.50209298382012,0.40789512,30.88140703517588,-114.19723618090453
2024-06,97.24045513023567,0.40082997,30.868341708542715,-114.18718592964824
2024-06,98.97888691525803,0.40082997,30.855276381909547,-114.17713567839196
2024-06,100.717388318837,0.40082997,30.842211055276383,-114.16708542713567
2024-06,102.45595932090963,0.4022209,30.829145728643216,-114.1570351758794
2024-06,104.1945999013999,0.4022209,30.81608040201005,-114.14698492462311
2024-06,105.93331004022113,0.4022209,30.803015075376884,-114.13693467336684
2024-06,107.6720897172746,0.3977651,30.78994974874372,-114.12688442211055
2024-06,109.41093891244886,0.38985428,30.776884422110555,-114.11683417085428
2024-06,111.1498576056211,0.38985428,30.763819095477388,-114.10678391959799
2024-06,112.88884577665682,0.38985428,30.750753768844223,-114.09673366834171
2024-06,114.62790340540985,0.39126703,30.737688442211056,-114.08668341708542
2024-06,116.36703047171986,0.3914453,30.72462311557789,-114.07663316582915
2024-06,118.10622695541832,0.3914453,30.711557788944724,-114.06658291457286
2024-06,119.84549283632153,0.40849048,30.69849246231156,-114.05653266331659
2024-06,121.58482809423582,0.40849048,30.685427135678392,-114.0464824120603
2024-06,123.3242327089548,0.4031688,30.672361809045228,-114.03643216080403
2024-06,125.06370666026108,0.3875636,30.65929648241206,-114.02638190954774
2024-06,126.80324992792347,0.3875636,30.646231155778896,-114.01633165829146
2024-06,128.5428624917037,0.3875636,30.633165829145728,-114.00628140703517
2024-06,130.28254433134327,0.3679531,30.620100502512564,-113.9962311557789
2024-06,132.02229542657915,0.3679531,30.607035175879396,-113.98618090452261
